Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
Cameroon,1996,4.3610865180000005,1.0720520260000002,0.014977438375,2.528351140475785,0.013970813,0.7410220746487762,0.47544,2.690145732,15,0.0015692017993513966,0.0,841,0
Cameroon,2008,3.488800919,1.28600108,0.02475894926,2.2249588062442616,0.019252666,0.6944835986771072,0.47544,2.750797225,32,0.0031815470272419967,1.0,963,1
Cameroon,2016,4.648481551000001,1.469192636,0.035152694906,2.6105930076942663,0.023926539,0.6762132223018835,0.47544,2.660494609,22,0.0021208907741251328,0.0,973,0
Cameroon,2004,6.780955924,1.251928982,0.021607445414,2.472277772321336,0.017259322,0.6980039054165128,0.47544,2.6922030130000003,17,0.0017507723995880534,1.0,927,1
Cameroon,1988,-7.823631975,1.5501116629999998,0.01716814081,2.8217153833396065,0.011075422,0.9532980920562524,0.47544,3.158570609,15,0.0019093686354378816,1.0,742,0
Turkey,1992,5.035634939,6.931674126000001,0.386,95.59101043247524,0.055748948,3.84859141657484,0.78535,1.6427927,41,0.004689465858401007,2.0,826,6
Turkey,2012,4.788492709,12.12758618,0.905,72.96105392207241,0.074653016,2.3956906139189744,0.78535,1.632957935,112,0.011464837752072885,7.0,962,5
Turkey,2000,6.933239708,8.278259662999998,0.524,75.57286003290257,0.063240194,3.0433270951094067,0.78535,1.518097003,57,0.005798575788402849,6.0,925,5
Turkey,1996,7.379664474,7.730923109,0.459,77.48408936307078,0.059423282,3.151854062471474,0.78535,1.5890896369999998,53,0.005544513024374934,6.0,841,6
Turkey,2008,0.8150245709999999,10.69168943,0.753,67.66821820700838,0.070418604,2.5401451165120785,0.78535,1.195376089,67,0.006661364088287929,11.0,963,7
Turkey,2016,3.323084208,14.153462900000001,1.13,83.91874667313226,0.079821724,2.2559261578004066,0.78535,1.632250641,100,0.009640412609659694,5.0,973,8
